name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
CHHILAKIYA Cotton Feel Glace Cotton Elastic Fitted Printed King Size Double Bed Bedsheet with 2 Pillow Cover ( Blue ),home & kitchen,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51QTWqAhqHL._AC_UL320_.jpg,https://www.amazon.in/CHHILAKIYA-Cotton-Elastic-Printed-Bedsheet/dp/B0BR5N6VGN/ref=sr_1_7782?qid=1679213219&s=kitchen&sr=1-7782,,,₹599,"₹1,299"
Shining Jewel Gold Plated Pendant Mala for Men (SJ_2449),accessories,Jewellery,https://m.media-amazon.com/images/I/616IOVp+P5L._AC_UL320_.jpg,https://www.amazon.in/Shining-Jewel-Ganesha-Rudraksha-SJ_2449/dp/B07K2983YQ/ref=sr_1_18302?qid=1679145772&s=jewelry&sr=1-18302,3.4,4,₹384,₹899
"Home Plus 250 Watts Electric Vegetable Chopper With Double Blade, White",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/51A2VtSVTNL._AC_UL320_.jpg,https://www.amazon.in/Homeplus-Electric-Chopper-Magic-Double/dp/B07NPQ4DPC/ref=sr_1_5547?qid=1679134796&s=kitchen&sr=1-5547,4.2,233,"₹1,139","₹1,999"
Bajaj 500 Watt GX-1 Mixer Grinder with 3 Jars- white,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51zawqBFnPL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-GX-1-500-Watt-Mixer-Grinder/dp/B00BMP97OC/ref=sr_1_1032?qid=1679135647&s=appliances&sr=1-1032,4.0,"20,488","₹2,289","₹3,850"
Label RITU KUMAR Sequre Neck Strappy Printed Long Dress,women's clothing,Western Wear,https://m.media-amazon.com/images/I/81aB6gbO7gL._AC_UL320_.jpg,https://www.amazon.in/Label-RITU-KUMAR-Strappy-Printed/dp/B08WK7Y78H/ref=sr_1_18753?qid=1679154118&s=apparel&sr=1-18753,,,"₹2,250","₹4,500"
Caprese Women's Western (Pastel & Soft Pink),accessories,Handbags & Clutches,https://m.media-amazon.com/images/I/41dKc+uPCHL._AC_UL320_.jpg,https://www.amazon.in/Caprese-Womens-Western-Pastel-Soft/dp/B09YYMDWBK/ref=sr_1_9908?qid=1679158924&s=shoes&sr=1-9908,5.0,2,,"₹1,299"
"UBON Wireless Earbuds Bluetooth On Ear Headphones Air Shark BT-285, v5.0 Bluetooth Earphone with TWS Function, Up to 20 Ho...","tv, audio & cameras",Headphones,https://m.media-amazon.com/images/I/71WHfXdU3GL._AC_UL320_.jpg,https://www.amazon.in/UBON-Wireless-Bluetooth-Headphones-Isolation/dp/B09XBCY57W/ref=sr_1_4478?qid=1679128962&s=electronics&sr=1-4478,4.0,27,"₹1,299","₹3,199"
Mona B Finley Canvas Bag Recycled Sling Bag For Women and Girls,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/714Xw+V+QJL._AC_UL320_.jpg,https://www.amazon.in/Mona-Finley-Canvas-Recycled-Sling/dp/B08237DSQT/ref=sr_1_9453?qid=1679144207&s=luggage&sr=1-9453,3.7,235,₹743,"₹1,500"
Flicka Shimmery Affair Lip Gloss Shade -7 | Glossy Lip Color | Lightweight & Non - Sticky |Long lasting | Moisturizing And...,beauty & health,Make-up,https://m.media-amazon.com/images/I/71kMuS+XjZL._AC_UL320_.jpg,https://www.amazon.in/Shimmery-Affair-Lip-Gloss-Lightweight/dp/B0BGSWT2VQ/ref=sr_1_4695?qid=1679215207&s=beauty&sr=1-4695,3.0,1,₹314,₹449
THE DDS STORE Adjustable Multiple Colors Cartoon Style Pet Dog Rubber Silicone Puppy Collar Training Collar Cat Collar wit...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41J4oJu679L._AC_UL320_.jpg,https://www.amazon.in/DDS-STORE-Adjustable-Multiple-Silicone/dp/B08X4SG26P/ref=sr_1_7162?qid=1679214738&s=pet-supplies&sr=1-7162,5.0,2,₹189,₹399
Mochi Mens Loafers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/6157ISuu+JL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Leather-Loafers-7-India-16-9136-23-41/dp/B07JHG2VTN/ref=sr_1_1410?qid=1679148670&s=shoes&sr=1-1410,4.0,23,₹671,"₹1,490"
Karigar Creations Wood Wall Hanging Jharokha Mirror Reflection Candle Holder (Size:17x7x1 inch),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71eQ8HpUOcL._AC_UL320_.jpg,https://www.amazon.in/Karigar-Creations-Hanging-Jharokha-Reflection/dp/B08MF969V2/ref=sr_1_3486?qid=1679213485&s=kitchen&sr=1-3486,3.8,50,₹854,"₹1,999"
PC Jeweller The Lennon 18KT Yellow Gold and Solitaire Pendant for Women,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/71CqkYWu1cL._AC_UL320_.jpg,https://www.amazon.in/PC-Jeweller-Lennon-Solitaire-Pendant/dp/B07F5WH33N/ref=sr_1_17115?qid=1679159854&s=jewelry&sr=1-17115,,,"₹77,682","₹91,390"
